rank,raceNumber,name,ageGroup,team,swim,t1,bike,t2,run,total,gap
100,3085,Nuno Dias,35-39,AMICICLO GRÂNDOLA,00:13:37,00:02:13,00:32:32,00:00:18,00:19:34,01:08:14,00:15:35
101,1930,tiago miguel casinha,CAD,CNCVG,00:11:43,00:01:04,00:33:50,00:00:08,00:21:35,01:08:20,00:15:41
102,3310,Leonel Marques,35-39,CNCVG,00:14:05,00:01:05,00:33:14,00:00:28,00:19:29,01:08:21,00:15:42
103,5290,Nelson Dias,40-44,O2 Triatlo - S´look,00:13:18,00:01:12,00:32:29,00:00:16,00:21:08,01:08:23,00:15:44
104,3773,Adriano Luz Domingos,30-34,Vasco da Gama Atlético Clube Sines,00:13:08,00:01:15,00:32:32,00:00:25,00:21:04,01:08:24,00:15:45
105,4525,Jorge Carvalho,50-54,Clube Oriental de Lisboa,00:14:16,00:01:32,00:32:32,00:00:19,00:19:46,01:08:25,00:15:46
106,4045,Paulo Cabrita Silva,55-59,Triatlo de Faro,00:13:13,00:01:05,00:32:48,00:00:51,00:20:50,01:08:47,00:16:08
107,5548,António Patrício,40-44,Estoril Praia Credibom,00:13:39,00:01:27,00:33:20,00:00:11,00:20:21,01:08:58,00:16:19
108,4644,Luís Gonçalves,45-49,Clube de Triatlo do Fundão,00:12:00,00:01:17,00:32:37,00:00:31,00:22:46,01:09:11,00:16:32
109,4281,Ricardo Diogo,50-54,Triatlo de Faro,00:11:42,00:01:14,00:33:58,00:00:19,00:22:06,01:09:19,00:16:40
110,1540,Francisco Magro,CAD,Aminata Triatlo,00:11:30,00:01:06,00:33:57,00:00:08,00:22:41,01:09:22,00:16:43
111,2241,João Pedro Cruz,JUN,Aminata Triatlo,00:13:28,00:00:59,00:32:34,00:00:10,00:22:11,01:09:22,00:16:43
112,5033,Hugo Sousa,45-49,Outsystems Olímpico de Oeiras,00:14:06,00:00:59,00:33:24,00:00:52,00:20:01,01:09:22,00:16:43
113,5759,Fabiano Vaz,40-44,Vasco da Gama Atlético Clube Sines,00:12:47,00:01:47,00:32:36,00:00:49,00:21:24,01:09:23,00:16:44
114,5756,Fernando Pita,40-44,Triatlo de Faro,00:12:44,00:01:01,00:32:43,00:00:22,00:22:38,01:09:28,00:16:49
115,3159,André Jesus,35-39,Clube Oriental de Lisboa,00:14:52,00:01:08,00:32:18,00:00:28,00:20:43,01:09:29,00:16:50
116,3366,Stefano Silvestre,30-34,Fc Ferreiras,00:12:56,00:01:41,00:32:21,00:00:44,00:21:59,01:09:41,00:17:02
117,4692,João Diogo Cruz,45-49,Estoril Praia Credibom,00:11:51,00:01:03,00:33:57,00:00:36,00:22:18,01:09:45,00:17:06
118,3843,Sandro Rodrigues,35-39,Triatlo de Faro,00:13:34,00:01:02,00:32:24,00:00:40,00:22:20,01:10:00,00:17:21
119,4040,António Raposo,60-64,O2 Triatlo - S´look,00:12:16,00:01:00,00:33:24,00:00:27,00:23:07,01:10:14,00:17:35
120,4788,Pedro Nunes,45-49,Outsystems Olímpico de Oeiras,00:11:55,00:01:02,00:34:12,00:00:53,00:22:56,01:10:58,00:18:19
121,5546,Alexandre Paiva Nunes,45-49,Individual,00:14:26,00:01:26,00:34:42,00:00:40,00:19:51,01:11:05,00:18:26
122,4009,Paulo Santos,45-49,Mirachoro Hotels/CCP/Churrasqueira do Vau,00:14:19,00:01:45,00:32:14,00:00:35,00:22:42,01:11:35,00:18:56
123,5793,Rui Duarte,45-49,Triatlo de Faro,00:11:53,00:02:08,00:36:32,00:00:38,00:20:41,01:11:52,00:19:13
124,3335,Nuno Silva,25-29,AmoraSub/Associação Naval Amorense,00:12:08,00:01:49,00:34:40,00:01:06,00:22:16,01:11:59,00:19:20
125,4241,Andre Lima Cabrita,45-49,Triatlo de Faro,00:13:16,00:01:24,00:34:12,00:00:30,00:22:48,01:12:10,00:19:31
126,4141,Hélder Quintino,45-49,Fc Ferreiras,00:14:05,00:01:43,00:35:21,00:00:19,00:20:46,01:12:14,00:19:35
127,5161,Luis Vidinha,50-54,CNAL - Triatlo,00:13:45,00:01:42,00:35:39,00:00:32,00:20:38,01:12:16,00:19:37
128,2829,Jorge Sousa,35-39,Vela de Tavira,00:12:10,00:01:15,00:34:30,00:00:43,00:24:10,01:12:48,00:20:09
129,4860,Renato Araújo,50-54,AmoraSub/Associação Naval Amorense,00:14:21,00:01:18,00:34:44,00:00:28,00:22:04,01:12:55,00:20:16
130,5106,Jorge Dinis,50-54,AmoraSub/Associação Naval Amorense,00:13:32,00:01:45,00:35:08,00:00:23,00:22:08,01:12:56,00:20:17
131,5005,Luís Caetano,40-44,Louletano,00:13:50,00:01:19,00:35:05,00:00:34,00:22:14,01:13:02,00:20:23
132,5265,Rodrigo Pais de Almeida,40-44,Outsystems Olímpico de Oeiras,00:14:20,00:01:44,00:34:17,00:00:46,00:22:36,01:13:43,00:21:04
133,2289,Rui Marques,JUN,Clube de Triatlo do Fundão,00:13:09,00:01:22,00:36:09,00:00:17,00:22:57,01:13:54,00:21:15
134,4261,Paulo Faria,40-44,Outsystems Olímpico de Oeiras,00:13:26,00:01:46,00:36:52,00:00:33,00:21:22,01:13:59,00:21:20
135,5792,Luis Guerreiro,40-44,Triatlo de Faro,00:13:58,00:01:37,00:34:07,00:00:42,00:23:42,01:14:06,00:21:27
136,4109,Miguel Silva,45-49,AmoraSub/Associação Naval Amorense,00:14:49,00:01:25,00:34:17,00:00:35,00:23:03,01:14:09,00:21:30
137,4852,Francisco Sanches Osório,55-59,Estoril Praia Credibom,00:13:36,00:01:46,00:35:33,00:00:37,00:22:37,01:14:09,00:21:30
138,4408,Vitor Cabrita,55-59,Outsystems Olímpico de Oeiras,00:13:52,00:02:14,00:35:53,00:01:00,00:21:13,01:14:12,00:21:33
139,2628,André Garrido,25-29,Aminata Triatlo,00:11:56,00:01:09,00:36:45,00:00:13,00:24:14,01:14:17,00:21:38
140,5275,Hugo Viegas,40-44,Lusitano / Frusoal,00:14:38,00:01:27,00:36:22,00:00:34,00:21:26,01:14:27,00:21:48
141,3153,Sergio Vicente,35-39,AmoraSub/Associação Naval Amorense,00:14:40,00:01:29,00:35:55,00:00:41,00:21:50,01:14:35,00:21:56
142,8071,Lucas Peixoto,25-29,REPSOL TRIATLO,00:13:32,00:03:55,00:36:32,00:00:38,00:20:14,01:14:51,00:22:12
143,4962,Hugo Braz,45-49,Individual,00:13:05,00:01:57,00:36:15,00:00:51,00:23:07,01:15:15,00:22:36
144,5142,Luis Faustino,50-54,Lusitano / Frusoal,00:14:51,00:01:36,00:35:31,00:00:43,00:22:43,01:15:24,00:22:45
145,5262,Luís Massapina,40-44,Fc Ferreiras,00:16:24,00:01:18,00:38:07,00:00:12,00:19:47,01:15:48,00:23:09
146,4190,António Catarino,55-59,Clube de Triatlo do Fundão,00:14:36,00:01:44,00:34:03,00:00:30,00:25:08,01:16:01,00:23:22
147,2948,Marco Cunha,35-39,AmoraSub/Associação Naval Amorense,00:16:06,00:01:28,00:38:08,00:00:31,00:19:51,01:16:04,00:23:25
148,5208,Miguel Barnabé,55-59,Fc Ferreiras,00:15:08,00:01:44,00:36:12,00:01:02,00:22:27,01:16:33,00:23:54
149,5366,Lucas Sanabio,40-44,Estoril Praia Credibom,00:13:45,00:01:53,00:35:05,00:00:40,00:26:09,01:17:32,00:24:53
150,4432,João Matos,50-54,Clube de Triatlo do Fundão,00:13:30,00:01:35,00:36:01,00:00:29,00:26:35,01:18:10,00:25:31
151,5027,Pedro Costa Pereira,55-59,Estoril Praia Credibom,00:13:29,00:01:52,00:36:47,00:00:41,00:25:28,01:18:17,00:25:38
152,4629,António Jorge Martinho,55-59,Clube Oriental de Lisboa,00:12:29,00:01:47,00:39:49,00:00:39,00:23:39,01:18:23,00:25:44
153,5122,Nuno Almeida,55-59,Individual,00:15:34,00:01:32,00:38:30,00:00:44,00:22:28,01:18:48,00:26:09
154,4832,Hugo Ferraz,45-49,Mirachoro Hotels/CCP/Churrasqueira do Vau,00:16:04,00:01:13,00:37:12,00:00:28,00:24:10,01:19:07,00:26:28
155,3178,Guilherme Marta,35-39,Individual,00:14:15,00:02:47,00:39:53,00:00:27,00:22:00,01:19:22,00:26:43
156,3076,Hugo Fragoso,30-34,AmoraSub/Associação Naval Amorense,00:15:11,00:01:45,00:38:47,00:00:31,00:23:27,01:19:41,00:27:02
157,4026,Rui Medina,50-54,Bike Clube S. Brás,00:17:19,00:02:01,00:37:50,00:01:00,00:21:34,01:19:44,00:27:05
158,1537,João Palma,CAD,Lusitano / Frusoal,00:12:50,00:01:09,00:36:33,00:00:12,00:29:05,01:19:49,00:27:10
159,4501,Paulo Moutinho,50-54,Clube Oriental de Lisboa,00:11:40,00:03:53,00:39:33,00:00:43,00:24:01,01:19:50,00:27:11
160,5084,José Pina,40-44,Louletano,00:17:08,00:02:23,00:39:06,00:00:29,00:21:03,01:20:09,00:27:30
161,2889,David Gomes,25-29,Clube dos Galitos,00:16:02,00:02:29,00:38:40,00:01:19,00:21:43,01:20:13,00:27:34
162,3228,Pedro Miguel Maurício,30-34,Clube de Triatlo do Fundão,00:14:46,00:02:33,00:38:04,00:00:38,00:24:14,01:20:15,00:27:36
163,5219,Rui Velez,55-59,Clube Oriental de Lisboa,00:12:59,00:02:28,00:38:42,00:00:37,00:25:45,01:20:31,00:27:52
164,5656,Artur Alves,45-49,GRCD Leião Triatlo,00:15:45,00:03:59,00:39:10,00:01:03,00:21:22,01:21:19,00:28:40
165,5688,Edgar Sousa,40-44,Clube Oriental de Lisboa,00:17:29,,,00:00:29,00:22:42,01:21:31,00:28:52
166,1532,Pedro Brito,CAD,Lusitano / Frusoal,00:13:43,00:00:57,00:40:47,00:00:13,00:26:04,01:21:44,00:29:05
167,4192,Carlos Valente,60-64,Lusitano / Frusoal,00:16:27,00:01:52,00:38:56,00:00:56,00:23:39,01:21:50,00:29:11
168,5782,Josue Rosa,45-49,Individual,00:14:47,00:02:07,00:41:21,00:01:08,00:22:41,01:22:04,00:29:25
169,4616,Carlos Borda d´Água,45-49,Alhandra Sporting Club,00:16:12,00:01:45,00:39:20,00:00:38,00:24:40,01:22:35,00:29:56
170,5791,Pedro Figueiredo,45-49,Aminata Triatlo,00:15:35,00:01:39,00:39:27,00:00:25,00:25:42,01:22:48,00:30:09
171,2943,Nuno Arraiano,30-34,Aminata Triatlo,00:15:39,00:02:06,00:42:14,00:00:36,00:22:52,01:23:27,00:30:48
172,4042,João Rita,60-64,Bike Clube S. Brás,00:16:16,00:02:50,00:38:20,00:01:10,00:25:30,01:24:06,00:31:27
173,5681,Marco Rocha,45-49,Outsystems Olímpico de Oeiras,00:18:22,00:03:04,00:39:36,00:00:51,00:22:31,01:24:24,00:31:45
174,5757,Rui Silvestre,45-49,Triatlo de Faro,00:18:07,00:02:03,00:35:56,00:01:14,00:27:27,01:24:47,00:32:08
175,4346,Jorge Carreiras,55-59,Clube Oriental de Lisboa,00:16:52,00:01:57,00:39:41,00:01:00,00:25:24,01:24:54,00:32:15
176,5412,Jorge Rosa,55-59,SFRAA TRIATLO,00:13:44,00:01:56,00:40:00,00:01:11,00:28:20,01:25:11,00:32:32
177,4393,Paulo Lopes,50-54,SFRAA TRIATLO,00:15:40,00:01:46,00:40:53,00:00:54,00:25:58,01:25:11,00:32:32
178,2225,Pedro Leão,JUN,Associação Beat Your Limit!,00:12:38,00:02:29,00:36:06,00:09:52,00:25:04,01:26:09,00:33:30
179,8087,Fábio Bota,40-44,Triatlo de Faro,00:12:33,00:01:53,00:44:00,00:00:59,00:28:23,01:27:48,00:35:09
180,5769,José Gonçalves,50-54,Individual,00:15:48,00:03:37,00:20:49,00:23:54,00:24:08,01:28:16,00:35:37
181,5007,Tiago Ramos,45-49,Outsystems Olímpico de Oeiras,00:17:59,00:04:02,00:43:10,00:00:21,00:22:50,01:28:22,00:35:43
182,5686,Miguel Nunes,50-54,Individual,00:20:39,00:03:20,00:40:07,00:01:44,00:23:34,01:29:24,00:36:45
183,5298,Miguel Cardoso Pinto,45-49,Outsystems Olímpico de Oeiras,00:15:57,00:02:29,00:42:22,00:01:00,00:28:37,01:30:25,00:37:46
184,5591,Pedro Soutelinho Correia Ribeiro,55-59,Outsystems Olímpico de Oeiras,00:16:18,00:01:53,00:42:36,00:00:34,00:29:49,01:31:10,00:38:31
185,3776,Sergio Maquinista,35-39,REPSOL TRIATLO,00:20:53,00:01:40,00:41:38,00:00:54,00:26:41,01:31:46,00:39:07
186,8093,Luis Cabral e Silva,50-54,Fc Ferreiras,00:14:23,00:03:09,00:46:41,00:00:54,00:27:33,01:32:40,00:40:01
187,8090,José Gerardo,60-64,CNAL - Triatlo,00:26:05,00:03:27,00:40:57,00:00:53,00:22:20,01:33:42,00:41:03
188,4498,João Galhordas,50-54,Individual,00:14:13,00:02:25,00:40:09,00:11:07,00:27:08,01:35:02,00:42:23
189,4175,Joaquim Rosado,50-54,Kainágua,00:17:45,00:02:00,00:46:57,00:00:33,00:28:07,01:35:22,00:42:43
190,5391,Daniel Leão,40-44,Alhandra Sporting Club,00:18:39,00:02:20,00:44:19,00:01:30,00:37:49,01:44:37,00:51:58
DSQ,3115,Rafael Batista,35-39,Louletano,00:10:15,,,,,DSQ,
DNF,3250,Miguel Almeida,25-29,Individual,00:10:31,00:00:46,00:31:45,00:00:13,,DNF,
DNF,1506,Rafael Santos,CAD,SFRAA TRIATLO,00:10:48,,,,,DNF,
DNF,1902,Manel Bartolomeu,CAD,Clube de Natação de Torres Novas,00:09:01,,,,,DNF,
DNF,1898,João Gonçalves,CAD,TRIATLO - Santo André Sport Club,,,,,,DNF,
DNF,5170,Hugo Gaudêncio,45-49,REPSOL TRIATLO,,,,,,DNF,
DNS,5676,Gonçalo Almeida,40-44,Alhandra Sporting Club,,,,,,DNS,
DNS,2840,Hugo Figueiredo,20-24,Sporting Clube de Portugal,,,,,,DNS,
DNS,3893,Gabriel Garrido,20-24,Triatlo de Faro,,,,,,DNS,
DNS,4703,Henrique Matias,45-49,CNATRIL Triatlo,,,,,,DNS,
DNS,3200,Luiz Felipe Monteiro,35-39,Individual,,,,,,DNS,
DNS,5462,Miguel San-Payo,60-64,Individual,,,,,,DNS,
DNS,5606,Bernardo Pessoa,40-44,Louletano,,,,,,DNS,
DNS,4426,José Alberto Marcos,55-59,Louletano,,,,,,DNS,
DNS,3105,Manuel Casado,20-24,Louletano,,,,,,DNS,
DNS,3994,Roberto Elvira,35-39,Lusitano / Frusoal,,,,,,DNS,
DNS,5190,Bruno Pereira,45-49,Outsystems Olímpico de Oeiras,,,,,,DNS,
DNS,4429,Pedro Silva Santos,45-49,Outsystems Olímpico de Oeiras,,,,,,DNS,
DNS,1865,Tomás Sousa,CAD,Outsystems Olímpico de Oeiras,,,,,,DNS,